id,Type_fraude,Date_systeme
7212542024-01-12 14:18:58.589,Contrat doublant,2024-06-28 00:47:34.392336
7212782024-01-12 14:29:56.148,Contrat doublant,2024-06-28 00:47:34.392336
6755902023-02-24 11:15:49.354,Contrat doublant,2024-06-28 00:47:34.392336
6755902023-02-24 11:15:56.953,Contrat doublant,2024-06-28 00:47:34.392336
6756582023-02-24 16:23:13.759,Contrat doublant,2024-06-28 00:47:34.392336
6759052023-02-28 13:27:14.921,Contrat doublant,2024-06-28 00:47:34.392336
6759052023-02-28 13:27:23.298,Contrat doublant,2024-06-28 00:47:34.392336
6760852023-03-01 16:48:44.917,Contrat doublant,2024-06-28 00:47:34.392336
6760852023-03-01 16:48:52.324,Contrat doublant,2024-06-28 00:47:34.392336
6761092023-03-02 09:48:13.109,Contrat doublant,2024-06-28 00:47:34.392336
6761092023-03-02 09:48:20.529,Contrat doublant,2024-06-28 00:47:34.392336
6763492023-03-06 11:18:56.728,Contrat doublant,2024-06-28 00:47:34.392336
6763492023-03-06 11:19:04.995,Contrat doublant,2024-06-28 00:47:34.392336
6775212023-03-22 11:11:54.415,Contrat doublant,2024-06-28 00:47:34.392336
6775212023-03-22 11:12:02.151,Contrat doublant,2024-06-28 00:47:34.392336
6775512023-03-22 13:37:15.789,Contrat doublant,2024-06-28 00:47:34.392336
6775512023-03-22 13:37:26.135,Contrat doublant,2024-06-28 00:47:34.392336
6777112023-03-24 08:46:35.287,Contrat doublant,2024-06-28 00:47:34.392336
6777112023-03-24 08:46:43.137,Contrat doublant,2024-06-28 00:47:34.392336
6777302023-03-24 10:25:26.274,Contrat doublant,2024-06-28 00:47:34.392336
6777302023-03-24 10:25:33.407,Contrat doublant,2024-06-28 00:47:34.392336
6778992023-03-28 09:20:00.092,Contrat doublant,2024-06-28 00:47:34.392336
6778992023-03-28 09:20:07.005,Contrat doublant,2024-06-28 00:47:34.392336
6779252023-03-28 12:21:19.809,Contrat doublant,2024-06-28 00:47:34.392336
6779252023-03-28 12:21:26.911,Contrat doublant,2024-06-28 00:47:34.392336
6780182023-03-29 11:12:50.529,Contrat doublant,2024-06-28 00:47:34.392336
6780182023-03-29 11:12:57.946,Contrat doublant,2024-06-28 00:47:34.392336
6780272023-03-29 12:14:04.754,Contrat doublant,2024-06-28 00:47:34.392336
6780272023-03-29 12:14:12.482,Contrat doublant,2024-06-28 00:47:34.392336
6780792023-03-30 09:44:46.317,Contrat doublant,2024-06-28 00:47:34.392336
6780792023-03-30 09:44:54.067,Contrat doublant,2024-06-28 00:47:34.392336
6780802023-03-30 09:49:48.076,Contrat doublant,2024-06-28 00:47:34.392336
6780802023-03-30 09:49:55.848,Contrat doublant,2024-06-28 00:47:34.392336
6780832023-03-30 09:56:59.051,Contrat doublant,2024-06-28 00:47:34.392336
6780832023-03-30 09:57:06.856,Contrat doublant,2024-06-28 00:47:34.392336
6780862023-03-30 10:06:13.088,Contrat doublant,2024-06-28 00:47:34.392336
6780862023-03-30 10:06:20.902,Contrat doublant,2024-06-28 00:47:34.392336
6781142023-03-30 13:59:12.759,Contrat doublant,2024-06-28 00:47:34.392336
6781142023-03-30 13:59:20.084,Contrat doublant,2024-06-28 00:47:34.392336
6781172023-03-30 14:01:36.835,Contrat doublant,2024-06-28 00:47:34.392336
6781172023-03-30 14:01:44.049,Contrat doublant,2024-06-28 00:47:34.392336
6781572023-03-31 09:01:45.014,Contrat doublant,2024-06-28 00:47:34.392336
6781572023-03-31 09:01:52.037,Contrat doublant,2024-06-28 00:47:34.392336
6781582023-03-31 09:02:56.141,Contrat doublant,2024-06-28 00:47:34.392336
6781582023-03-31 09:03:03.282,Contrat doublant,2024-06-28 00:47:34.392336
6781852023-03-31 11:12:46.412,Contrat doublant,2024-06-28 00:47:34.392336
6781852023-03-31 11:12:53.432,Contrat doublant,2024-06-28 00:47:34.392336
6782002023-03-31 12:54:55.122,Contrat doublant,2024-06-28 00:47:34.392336
6782002023-03-31 12:55:02.112,Contrat doublant,2024-06-28 00:47:34.392336
6782082023-03-31 13:43:08.094,Contrat doublant,2024-06-28 00:47:34.392336
6782082023-03-31 13:43:15.170,Contrat doublant,2024-06-28 00:47:34.392336
6782352023-03-31 15:49:48.739,Contrat doublant,2024-06-28 00:47:34.392336
6782352023-03-31 15:49:56.537,Contrat doublant,2024-06-28 00:47:34.392336
6782432023-04-03 07:52:48.075,Contrat doublant,2024-06-28 00:47:34.392336
6782442023-04-03 08:03:02.531,Contrat doublant,2024-06-28 00:47:34.392336
6782442023-04-03 08:03:11.628,Contrat doublant,2024-06-28 00:47:34.392336
6782452023-04-03 08:06:02.446,Contrat doublant,2024-06-28 00:47:34.392336
6782452023-04-03 08:06:10.735,Contrat doublant,2024-06-28 00:47:34.392336
6782542023-04-03 09:50:05.191,Contrat doublant,2024-06-28 00:47:34.392336
6782542023-04-03 09:50:14.547,Contrat doublant,2024-06-28 00:47:34.392336
6782542023-04-03 09:50:23.406,Contrat doublant,2024-06-28 00:47:34.392336
6782972023-04-03 16:36:39.320,Contrat doublant,2024-06-28 00:47:34.392336
6782972023-04-03 16:36:46.874,Contrat doublant,2024-06-28 00:47:34.392336
